Date,Close/Last,Volume,Open,High,Low
02/03/2023,$331.5,3389884,$332.53,$334.7099,$330.33
02/02/2023,$339.79,4776634,$333.45,$341.4691,$332.69
02/01/2023,$328.09,3076471,$322.39,$330.545,$317.6382
01/31/2023,$324.17,3526837,$315.99,$324.35,$315.095
01/30/2023,$314.24,2643141,$315.83,$318.14,$313.69
01/27/2023,$316.69,2761169,$312.02,$318.24,$311.33
01/26/2023,$313.81,3555265,$314.15,$319.26,$312.53
01/25/2023,$317.26,2060388,$315.33,$318.12,$311.55
01/24/2023,$317.69,2127866,$314.49,$318.0999,$312.63
01/23/2023,$315.48,3237915,$313.54,$317.53,$311.09
01/20/2023,$315,3725066,$310.01,$315.24,$307.3901
01/19/2023,$310.88,5359280,$320.34,$321.3399,$310.63
01/18/2023,$323.69,2952202,$330,$334.52,$322.93
01/17/2023,$327.53,3988949,$330.33,$335.1631,$327.1
01/13/2023,$331.21,2798591,$326.49,$332.3899,$326
01/12/2023,$329.87,2481803,$332.21,$332.21,$326.71
01/11/2023,$329,2864834,$322.55,$329.04,$322.12
01/10/2023,$320.63,2111276,$316.3,$320.73,$313.96
01/09/2023,$317.81,3466267,$320,$322.5499,$317.06
01/06/2023,$317.53,4022511,$316.29,$318.85,$309
01/05/2023,$315.47,2935083,$317.83,$318.075,$313.23
01/04/2023,$319.73,3560934,$321.07,$322.51,$316.3753
01/03/2023,$315.91,2822390,$317.42,$319.22,$311.78
12/30/2022,$315.86,2581645,$317.49,$318.17,$313.0218
12/29/2022,$320.41,1559184,$318.65,$321.83,$317.59
12/28/2022,$315.73,1568353,$320.55,$321.4328,$315.5
12/27/2022,$319.55,1610418,$318.41,$321.547,$317.51
12/23/2022,$318.73,2064872,$314.15,$319.1,$313.06
12/22/2022,$316.12,3064779,$316.4,$316.4,$310.725
12/21/2022,$319.36,2610365,$318.05,$319.59,$314.74
12/20/2022,$314.84,2632300,$313.32,$316.887,$310.83
12/19/2022,$317.33,3000613,$319.5,$321.91,$316.02
12/16/2022,$323.34,9614983,$323.43,$327.94,$319.2422
12/15/2022,$327.6,5057631,$329.44,$330.02,$323.3705
12/14/2022,$333.43,4546024,$330.53,$339.055,$329.0075
12/13/2022,$332.89,5787668,$344.35,$347.25,$329.96
12/12/2022,$327.98,4900164,$323,$328.34,$321.29
12/09/2022,$320.48,3738832,$321.48,$324.44,$319.93
12/08/2022,$324.09,3483561,$318.55,$324.525,$318.55
12/07/2022,$320.15,4038175,$315.96,$322.877,$314.44
12/06/2022,$317.45,3341458,$319.64,$321.65,$314.54
12/05/2022,$320.08,5057347,$325.15,$325.52,$319.54
12/02/2022,$327.99,3644116,$321.08,$328.48,$320.33
12/01/2022,$327.07,3830118,$326.31,$329.67,$324.44
11/30/2022,$323.99,15106520,$312.93,$324.19,$311.495
11/29/2022,$315.96,3505644,$316,$320,$315.62
11/28/2022,$318.92,4735507,$325.06,$328.8,$317.846
11/25/2022,$326.38,3393533,$322.89,$329.075,$321.9
11/23/2022,$321.51,4243427,$326.76,$327.82,$320.44
11/22/2022,$324.88,6054740,$320,$326.82,$319.38
11/21/2022,$316.78,4068957,$316.96,$318.84,$314.2
11/18/2022,$313.18,3559301,$314.14,$316,$310.26
11/17/2022,$311.44,3643182,$312,$313.68,$306.15
11/16/2022,$314.91,5249549,$305.86,$316.41,$304.51
11/15/2022,$311.93,9290361,$304.06,$316.63,$303.25
11/14/2022,$306.92,6394785,$314.36,$315.98,$306.34
11/11/2022,$314.94,4945385,$312,$317.68,$310.24
11/10/2022,$311.7,7793983,$297.74,$314.74,$297.08
11/09/2022,$286.75,3071380,$289,$292.5,$286.26
11/08/2022,$291.14,3371826,$292.43,$293.34,$287.6332
11/07/2022,$290.27,3260152,$286.5,$291.6999,$282.84
11/04/2022,$284.03,4399410,$285.89,$288.838,$277.5
11/03/2022,$281.5,4823867,$283.57,$285.95,$280.5115
11/02/2022,$288.73,4427211,$295.2,$300.165,$288.52
11/01/2022,$296.06,3309326,$300.37,$302.21,$293.35
10/31/2022,$296.13,4211031,$294.41,$299.28,$292.55
10/28/2022,$298.65,3243147,$290,$299.16,$290
10/27/2022,$291.06,3041731,$291.85,$294.27,$289.45
10/26/2022,$290.15,2615341,$290.6,$291.8699,$286.168
10/25/2022,$290.26,2791642,$285.51,$292.1339,$285.51
10/24/2022,$283.26,2937117,$276.97,$284.47,$276.97
10/21/2022,$275.53,3429101,$268.34,$275.71,$268
10/20/2022,$269.46,3959531,$274.94,$278,$267.865
10/19/2022,$275.49,4322993,$282.47,$282.765,$273.02
10/18/2022,$285.06,3166524,$287.95,$289.86,$283.23
10/17/2022,$281.26,3426680,$279.6,$283.87,$279.34
10/14/2022,$276.43,2783361,$286.64,$286.64,$275.95
10/13/2022,$282.83,3881627,$274.66,$284.83,$268.7321
10/12/2022,$280.52,2258401,$284.42,$284.6425,$280.49
10/11/2022,$282.89,2771941,$281.1,$286.2,$280.9
10/10/2022,$282.46,2115429,$283.56,$284.86,$280.22
10/07/2022,$284.32,2405956,$287.53,$288.63,$282.42
10/06/2022,$290.39,2641641,$289.56,$292.97,$287.775
10/05/2022,$289.85,2728022,$286.25,$292.11,$285.37
10/04/2022,$289.56,3641251,$287.5,$291.31,$286.56
10/03/2022,$283.7,3579971,$281,$286.06,$279.55
09/30/2022,$275.94,4789087,$277.82,$281.785,$274.76
09/29/2022,$278.33,4518628,$278.51,$278.76,$274.7342
09/28/2022,$282.19,5816583,$275.22,$283.4998,$272.71
09/27/2022,$268.69,3701021,$269.36,$273.69,$266.98
09/26/2022,$266.58,4181825,$271.43,$273.555,$265.61
09/23/2022,$270.94,3527874,$267.89,$271.3,$266.32
09/22/2022,$269.14,3515833,$271.22,$271.22,$267.85
09/21/2022,$271.57,3173521,$276,$280.13,$271.51
09/20/2022,$274.17,2940742,$276.88,$278.78,$271.37
09/19/2022,$280.42,3047191,$273.58,$281.23,$273.51
09/16/2022,$275.97,9535105,$269.05,$276.56,$268.9
09/15/2022,$271.54,3896084,$277.89,$278.01,$270.54
09/14/2022,$276.34,4194435,$279.4,$279.54,$273.17
09/13/2022,$277.93,4797246,$292.01,$294.08,$277.32
